image,roi1_mean,roi1_variance,roi1_std,roi1_coef_var,roi1_p10,roi1_p50,roi1_p90,roi2_mean,roi2_variance,roi2_std,roi2_coef_var,roi2_p10,roi2_p50,roi2_p90
CASE 1 (88).JPG,-0.030497499,0.031550147,0.17762361,-5.8242025,-0.2379539,-0.04740267,0.18213949,0.23394063,0.018900836,0.1374803,0.58767176,0.07025736,0.21011649,0.40036544
CASE 1 (89).JPG,-0.03366001,0.030698277,0.17520924,-5.205264,-0.24039677,-0.048842173,0.17836684,0.24015689,0.01934176,0.13907465,0.5790992,0.07048917,0.21695697,0.40532506
CASE 1 (9).JPG,-0.031964929999999996,0.031730974,0.17795098999999998,-5.5464894000000005,-0.23859172,-0.049745655,0.18444914999999998,0.2546756,0.021090117,0.14497966999999998,0.5692027,0.07331583,0.23147088,0.42692958
CASE 1 (90).JPG,-0.033560009999999994,0.030798277,0.17530923999999998,-5.205164,-0.24029677000000002,-0.048742173,0.17846684,0.24025689,0.01944176,0.13917464999999998,0.5791992,0.07058917,0.21705697,0.40542506
CASE 1 (91).JPG,-0.031188948,0.031493053,0.17746282,-5.689926,-0.23971415,-0.046997625,0.18289986,0.23953323,0.019941792,0.14121541,0.5895441,0.07745961,0.21453583,0.41217676
CASE 1 (92).JPG,-0.036800925,0.029254472,0.17103939,-4.6476927,-0.23693022,-0.04945958,0.16717352,0.22386119,0.017751383,0.13323432,0.5951649,0.06980725,0.19785567,0.383874
CASE 1 (93).JPG,-0.036700924999999995,0.029354472,0.17113939,-4.647592700000001,-0.23683022,-0.04935958,0.16727351999999998,0.22396118999999998,0.017851383,0.13333431999999998,0.5952649,0.06990725,0.19795567,0.383974
CASE 1 (94).JPG,-0.03115257,0.030642785,0.17505081,-5.619145,-0.23501407,-0.049032327,0.18146358,0.23175277,0.018506676,0.13603924,0.58700156,0.07139483,0.21172278,0.38347092
CASE 1 (95).JPG,-0.027307158,0.033464268,0.1829324,-6.6990643,-0.24077657,-0.048757095,0.19219941,0.23464689,0.019727796,0.14045568,0.59858316,0.07468436,0.21075769,0.38515398
CASE 1 (96).JPG,-0.027207158000000002,0.033564268,0.18303239999999998,-6.6989643,-0.24067657,-0.048657095,0.19229940999999998,0.23474688999999999,0.019827795999999998,0.14055568,0.59868316,0.07478436000000001,0.21085769,0.38525398
CASE 1 (97).JPG,-0.02026568,0.034045905,0.18451533,-9.104818,-0.23250003,-0.046362393,0.20644599,0.23500545,0.018300483,0.13527928,0.5756432,0.073244005,0.21312177,0.38117582
CASE 1 (98).JPG,-0.020165680000000002,0.034145905000000004,0.18461533,-9.104718,-0.23240003,-0.046262393,0.20654598999999998,0.23510545,0.018400483,0.13537928,0.5757432,0.073344005,0.21322176999999998,0.38127582
CASE 1 (99).JPG,-0.030566258,0.03280908,0.18113276,-5.9259057,-0.24157137,-0.052049197,0.1874258,0.23404184,0.019817442,0.14077443,0.6014926,0.073664516,0.2133425,0.3961984
